Country,Year,Ratio,Continent
Afghanistan,1970,0.768169999,Asia
Afghanistan,1971,0.923940003,Asia
Afghanistan,1972,0.952409983,Asia
Afghanistan,1973,1.097450018,Asia
Afghanistan,1974,1.026200056,Asia
Afghanistan,1975,1.080119967,Asia
Afghanistan,1976,1.222640038,Asia
Afghanistan,1977,1.358270049,Asia
Afghanistan,1978,1.746610045,Asia
Afghanistan,1979,1.881790042,Asia
Afghanistan,1982,1.744120002,Asia
Afghanistan,1986,2.204299927,Asia
Afghanistan,1987,1.743430018,Asia
Afghanistan,1990,2.273169994,Asia
Afghanistan,2003,1.256839991,Asia
Afghanistan,2004,1.256029963,Asia
Afghanistan,2009,3.903389931,Asia
Afghanistan,2011,3.755980015,Asia
Afghanistan,2014,8.662799835,Asia
Albania,1971,13.90859032,Europe
Albania,1972,14.92860985,Europe
Albania,1978,5.831719875,Europe
Albania,1981,5.189660072,Europe
Albania,1983,5.926320076,Europe
Albania,1984,6.560269833,Europe
Albania,1985,7.026239872,Europe
Albania,1986,7.221590042,Europe
Albania,1987,7.327420235,Europe
Albania,1988,7.738810062,Europe
Albania,1989,8.149889946,Europe
Albania,1990,8.369110107,Europe
Albania,1991,8.859930038,Europe
Albania,1992,9.29417038,Europe
Albania,1993,11.18873978,Europe
Albania,1994,10.6477499,Europe
Albania,1995,10.22033978,Europe
Albania,1996,10.96304989,Europe
Albania,1997,12.73375988,Europe
Albania,1998,13.59475994,Europe
Albania,1999,14.80504036,Europe
Albania,2000,15.6037302,Europe
Albania,2001,15.97496033,Europe
Albania,2002,16.43170929,Europe
Albania,2003,16.80555916,Europe
Albania,2004,20.05554008,Europe
Albania,2005,23.31110001,Europe
Albania,2006,26.62043953,Europe
Albania,2007,30.65366936,Europe
Albania,2008,32.07780075,Europe
Albania,2009,33.40074921,Europe
Albania,2010,44.54064941,Europe
Albania,2011,49.67039871,Europe
Albania,2012,58.56549072,Europe
Albania,2013,62.54776001,Europe
Albania,2014,62.70684814,Europe
Albania,2015,58.10995102,Europe
Algeria,1987,8.997110367,Africa
Algeria,1988,8.819529533,Africa
Algeria,1990,10.24524975,Africa
Algeria,1991,10.96181011,Africa
Algeria,1992,11.09426022,Africa
Algeria,1993,10.9375,Africa
Algeria,1994,10.4201498,Africa
Algeria,1995,10.10529041,Africa
Algeria,1996,11.36205959,Africa
Algeria,1999,13.65025043,Africa
Algeria,2001,15.56346035,Africa
Algeria,2002,17.27210999,Africa
Algeria,2003,18.47307014,Africa
Algeria,2004,19.04335976,Africa
Algeria,2005,20.76147079,Africa
Algeria,2006,21.2300396,Africa
Algeria,2007,23.4881897,Africa
Algeria,2009,29.81871986,Africa
Algeria,2010,29.83456039,Africa
Algeria,2011,31.20259094,Africa
Algeria,2012,32.23133087,Africa
Algeria,2013,33.96575928,Africa
