Entity,Code,Year,Ratio
Afghanistan,AFG,1970,0.768169999
Afghanistan,AFG,1971,0.923940003
Afghanistan,AFG,1972,0.952409983
Afghanistan,AFG,1973,1.097450018
Afghanistan,AFG,1974,1.026200056
Afghanistan,AFG,1975,1.080119967
Afghanistan,AFG,1976,1.222640038
Afghanistan,AFG,1977,1.358270049
Afghanistan,AFG,1978,1.746610045
Afghanistan,AFG,1979,1.881790042
Afghanistan,AFG,1982,1.744120002
Afghanistan,AFG,1986,2.204299927
Afghanistan,AFG,1987,1.743430018
Afghanistan,AFG,1990,2.273169994
Afghanistan,AFG,2003,1.256839991
Afghanistan,AFG,2004,1.256029963
Afghanistan,AFG,2009,3.903389931
Afghanistan,AFG,2011,3.755980015
Afghanistan,AFG,2014,8.662799835
Albania,ALB,1971,13.90859032
Albania,ALB,1972,14.92860985
Albania,ALB,1978,5.831719875
Albania,ALB,1981,5.189660072
Albania,ALB,1983,5.926320076
Albania,ALB,1984,6.560269833
Albania,ALB,1985,7.026239872
Albania,ALB,1986,7.221590042
Albania,ALB,1987,7.327420235
Albania,ALB,1988,7.738810062
Albania,ALB,1989,8.149889946
Albania,ALB,1990,8.369110107
Albania,ALB,1991,8.859930038
Albania,ALB,1992,9.29417038
Albania,ALB,1993,11.18873978
Albania,ALB,1994,10.6477499
Albania,ALB,1995,10.22033978
Albania,ALB,1996,10.96304989
Albania,ALB,1997,12.73375988
Albania,ALB,1998,13.59475994
Albania,ALB,1999,14.80504036
Albania,ALB,2000,15.6037302
Albania,ALB,2001,15.97496033
Albania,ALB,2002,16.43170929
Albania,ALB,2003,16.80555916
Albania,ALB,2004,20.05554008
Albania,ALB,2005,23.31110001
Albania,ALB,2006,26.62043953
Albania,ALB,2007,30.65366936
Albania,ALB,2008,32.07780075
Albania,ALB,2009,33.40074921
Albania,ALB,2010,44.54064941
Albania,ALB,2011,49.67039871
Albania,ALB,2012,58.56549072
Albania,ALB,2013,62.54776001
Albania,ALB,2014,62.70684814
