Entity,Code,Year,LifeExpectancy,GDPPerCapita,PopulationEstimates,Continent
Abkhazia,OWID_ABK,2015,,,,Asia
Afghanistan,AFG,2015,63.377,1928,33753500,Asia
Akrotiri and Dhekelia,OWID_AKD,2015,,,,Asia
Albania,ALB,2015,78.025,10032,2882482,Europe
Algeria,DZA,2015,76.09,14004,39543148,Africa
American Samoa,ASM,2015,73.588,,51391,Oceania
Andorra,AND,2015,83.073,,71766,Europe
Angola,AGO,2015,59.398,8689,28127724,Africa
Anguilla,AIA,2015,81.332,,14554,North America
Antarctica,ATA,2015,,,,Antarctica
Antigua and Barbuda,ATG,2015,76.483,,89958,North America
Argentina,ARG,2015,76.068,19502,43257064,South America
Armenia,ARM,2015,74.467,10042,2878598,Asia
Aruba,ABW,2015,75.725,,104269,North America
Australia,AUS,2015,82.794,48357,23820240,Oceania
Austria,AUT,2015,81.182,41294,8642422,Europe
Austria-Hungary,OWID_AUH,2015,,,,Europe
Azerbaijan,AZE,2015,72.266,17460,9863485,Asia
Baden,OWID_BAD,2015,,,,Europe
Bahamas,BHS,2015,73.088,,392707,North America
Bahrain,BHR,2015,76.762,40483,1362157,Asia
Bangladesh,BGD,2015,71.514,3402,157830000,Asia
Barbados,BRB,2015,78.801,11849,278095,North America
Bavaria,OWID_BAV,2015,,,,Europe
Belarus,BLR,2015,73.652,18136,9700609,Europe
Belgium,BEL,2015,80.969,38569,11248306,Europe
Belize,BLZ,2015,74.034,,359884,North America
Benin,BEN,2015,60.608,2055,10932791,Africa
Bermuda,BMU,2015,81.999,,63165,North America
Bhutan,BTN,2015,70.419,,743284,Asia
Bolivia,BOL,2015,70.277,6200,11090090,South America
Bonaire Sint Eustatius and Saba,BES,2015,77.033,,23193,North America
Bosnia and Herzegovina,BIH,2015,76.865,9495,3524328,Europe
Botswana,BWA,2015,67.338,14805,2305177,Africa
Bouvet Island,BVT,2015,,,,Antarctica
Brazil,BRA,2015,74.994,15826,205188208,South America
British Indian Ocean Territory,IOT,2015,,,,Asia
British Virgin Islands,VGB,2015,78.411,,29394,North America
Brunei,BRN,2015,75.318,,421449,Asia
Bulgaria,BGR,2015,74.584,16373,7309255,Europe
Burkina Faso,BFA,2015,59.919,1450,18718022,Africa
Burundi,BDI,2015,60.123,694,10727153,Africa
Cambodia,KHM,2015,68.637,3086,15417527,Asia
Cameroon,CMR,2015,57.583,2778,23012650,Africa
Canada,CAN,2015,82.026,43619,35732120,North America
Cape Verde,CPV,2015,72.117,6266,552169,Africa
Cayman Islands,CYM,2015,83.324,,60935,North America
Central African Republic,CAF,2015,50.881,576,4819341,Africa
Chad,TCD,2015,53.137,2384,14140277,Africa
Channel Islands,OWID_CIS,2015,82.429,,,Europe
Chile,CHL,2015,79.646,21589,17870122,South America
China,CHN,2015,75.928,12244,1393715456,Asia
Christmas Island,CXR,2015,,,,Asia
Cocos Islands,CCK,2015,,,,Asia
